GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD08,HD02_VD08
Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Total: - Worked at home,Margin of Error; Median age -- - Total: - Worked at home
01,Alabama,42.0,0.2,46.8,1.4
02,Alaska,41.1,0.5,47.1,2.8
04,Arizona,41.2,0.2,48.3,1.1
05,Arkansas,42.1,0.3,47.8,1.5
06,California,41.2,0.2,47.7,0.4
08,Colorado,41.4,0.2,47.6,0.8
09,Connecticut,44.4,0.2,50.2,0.9
10,Delaware,43.5,0.6,47.5,3.3
11,District of Columbia,41.7,0.4,41.8,3.5
12,Florida,42.9,0.2,48.7,0.5
13,Georgia,41.6,0.2,45.5,0.8
15,Hawaii,41.9,0.4,45.5,3.5
16,Idaho,41.0,0.5,46.2,2.8
17,Illinois,42.0,0.1,47.0,0.6
18,Indiana,42.3,0.2,47.4,1.0
19,Iowa,42.2,0.2,48.4,1.1
20,Kansas,42.1,0.2,47.4,1.6
21,Kentucky,41.8,0.2,48.3,1.1
22,Louisiana,41.5,0.3,49.2,0.8
23,Maine,45.2,0.3,51.8,1.1
24,Maryland,42.8,0.2,48.8,0.7
25,Massachusetts,43.1,0.1,48.6,0.7
26,Michigan,42.9,0.1,48.1,0.7
27,Minnesota,42.3,0.2,47.2,0.7
28,Mississippi,42.1,0.3,47.7,2.1
29,Missouri,42.2,0.2,46.0,0.8
30,Montana,43.3,0.4,49.2,1.7
31,Nebraska,42.0,0.2,50.6,0.7
32,Nevada,41.3,0.3,48.4,2.0
33,New Hampshire,45.2,0.3,49.5,1.5
34,New Jersey,44.0,0.2,48.0,0.6
35,New Mexico,42.4,0.3,52.8,0.9
36,New York,42.6,0.2,47.7,0.6
37,North Carolina,42.1,0.2,46.5,0.7
38,North Dakota,41.1,0.5,47.3,2.1
39,Ohio,43.0,0.1,48.8,0.7
40,Oklahoma,41.0,0.3,47.1,1.6
41,Oregon,42.3,0.2,48.0,0.8
42,Pennsylvania,43.7,0.1,48.1,0.5
44,Rhode Island,43.6,0.4,48.0,1.9
45,South Carolina,41.7,0.2,47.0,1.2
46,South Dakota,42.5,0.4,51.2,2.5
47,Tennessee,42.1,0.2,47.4,0.8
48,Texas,40.7,0.1,46.9,0.5
49,Utah,37.3,0.3,44.6,1.1
50,Vermont,45.2,0.3,51.5,1.4
51,Virginia,42.3,0.1,45.5,1.1
53,Washington,41.9,0.2,47.3,0.8
54,West Virginia,43.0,0.3,48.9,2.1
55,Wisconsin,42.7,0.2,47.5,0.6
56,Wyoming,42.3,0.4,50.4,2.5
72,Puerto Rico,40.6,0.2,46.3,2.5
