GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD08,HD02_VD08
Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Total: - Worked at home,Margin of Error; Median age -- - Total: - Worked at home
01,Alabama,42.3,0.2,47.8,1.2
02,Alaska,41.1,0.5,46.5,3.7
04,Arizona,41.1,0.2,48.0,1.1
05,Arkansas,41.7,0.3,46.5,2.2
06,California,41.2,0.1,47.7,0.3
08,Colorado,41.4,0.2,48.8,0.8
09,Connecticut,44.3,0.2,49.5,0.7
10,Delaware,43.1,0.5,47.8,2.4
11,District of Columbia,42.3,0.4,43.1,4.1
12,Florida,43.1,0.1,48.1,0.6
13,Georgia,41.4,0.2,45.3,1.0
15,Hawaii,42.5,0.3,47.1,2.3
16,Idaho,41.4,0.4,49.0,1.5
17,Illinois,42.0,0.1,47.3,0.7
18,Indiana,42.4,0.2,48.3,0.8
19,Iowa,42.4,0.2,47.9,1.0
20,Kansas,42.3,0.3,49.0,1.0
21,Kentucky,41.9,0.3,49.6,1.4
22,Louisiana,41.4,0.3,46.8,1.6
23,Maine,44.9,0.3,49.0,1.2
24,Maryland,42.7,0.2,48.2,0.8
25,Massachusetts,43.3,0.2,48.1,0.8
26,Michigan,42.7,0.2,47.6,0.5
27,Minnesota,42.4,0.1,47.2,0.7
28,Mississippi,41.9,0.3,48.7,1.6
29,Missouri,42.1,0.2,45.7,0.8
30,Montana,43.6,0.4,51.1,1.5
31,Nebraska,42.4,0.3,50.2,1.0
32,Nevada,41.3,0.4,46.8,2.3
33,New Hampshire,44.5,0.3,49.7,1.0
34,New Jersey,44.0,0.2,49.1,0.6
35,New Mexico,42.2,0.4,53.0,1.9
36,New York,42.4,0.1,47.3,0.5
37,North Carolina,42.0,0.2,46.1,0.7
38,North Dakota,41.2,0.5,48.8,1.6
39,Ohio,43.0,0.2,48.6,0.7
40,Oklahoma,41.0,0.3,48.3,1.0
41,Oregon,42.4,0.3,46.1,1.3
42,Pennsylvania,43.7,0.2,47.0,0.6
44,Rhode Island,42.9,0.5,45.9,1.9
45,South Carolina,41.8,0.3,46.7,1.6
46,South Dakota,42.9,0.3,51.0,1.8
47,Tennessee,42.0,0.2,48.2,1.0
48,Texas,40.6,0.2,46.5,0.5
49,Utah,37.5,0.3,42.2,1.6
50,Vermont,44.7,0.3,51.2,1.7
51,Virginia,42.2,0.2,46.0,0.8
53,Washington,41.9,0.2,46.6,1.0
54,West Virginia,43.6,0.3,48.2,2.4
55,Wisconsin,42.8,0.2,48.0,0.8
56,Wyoming,42.4,0.6,51.2,2.1
72,Puerto Rico,40.8,0.3,46.5,1.9
