GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD08,HD02_VD08
Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Total: - Worked at home,Margin of Error; Median age -- - Total: - Worked at home
01,Alabama,42.3,0.2,48.7,1.5
02,Alaska,40.6,0.5,44.9,3.9
04,Arizona,41.1,0.2,48.7,0.7
05,Arkansas,42.0,0.3,47.9,2.1
06,California,41.3,0.1,47.9,0.4
08,Colorado,41.2,0.2,47.1,1.0
09,Connecticut,44.3,0.2,50.0,1.1
10,Delaware,42.3,0.5,47.4,1.9
11,District of Columbia,42.2,0.3,42.2,2.0
12,Florida,43.1,0.2,48.2,0.5
13,Georgia,41.6,0.2,46.2,0.6
15,Hawaii,42.0,0.3,48.8,3.2
16,Idaho,41.6,0.5,48.6,1.7
17,Illinois,42.1,0.2,46.4,0.7
18,Indiana,42.4,0.2,46.8,1.0
19,Iowa,42.1,0.3,48.6,0.9
20,Kansas,41.4,0.3,48.9,1.1
21,Kentucky,41.7,0.2,47.0,1.4
22,Louisiana,41.5,0.2,48.6,1.9
23,Maine,45.3,0.4,49.7,1.5
24,Maryland,43.0,0.2,48.0,0.7
25,Massachusetts,43.1,0.2,48.8,0.7
26,Michigan,42.8,0.2,47.4,0.6
27,Minnesota,42.4,0.2,47.8,0.8
28,Mississippi,41.9,0.4,46.8,2.8
29,Missouri,42.2,0.2,46.5,1.1
30,Montana,43.0,0.4,47.7,1.7
31,Nebraska,42.1,0.2,48.9,1.5
32,Nevada,41.5,0.3,50.2,1.5
33,New Hampshire,44.9,0.3,50.1,1.9
34,New Jersey,44.0,0.2,48.5,0.7
35,New Mexico,41.9,0.3,52.3,1.5
36,New York,42.6,0.1,47.4,0.6
37,North Carolina,41.9,0.2,47.2,0.7
38,North Dakota,40.5,0.6,48.5,2.9
39,Ohio,42.9,0.1,48.1,0.9
40,Oklahoma,41.3,0.2,46.2,1.5
41,Oregon,42.3,0.2,48.6,1.5
42,Pennsylvania,43.8,0.2,47.8,0.6
44,Rhode Island,43.3,0.4,49.2,1.5
45,South Carolina,41.9,0.3,48.3,0.6
46,South Dakota,41.9,0.4,49.9,2.2
47,Tennessee,42.3,0.2,47.2,1.3
48,Texas,40.7,0.1,46.2,0.5
49,Utah,37.8,0.2,43.3,1.0
50,Vermont,45.1,0.4,51.6,0.9
51,Virginia,42.2,0.1,46.2,0.6
53,Washington,41.9,0.2,48.3,0.8
54,West Virginia,43.5,0.4,47.8,2.4
55,Wisconsin,42.7,0.1,47.8,0.9
56,Wyoming,42.3,0.5,50.2,3.1
72,Puerto Rico,40.6,0.3,43.9,2.3
